district_id,district_name,low_district_name
314,Indore,indore
17,Itanagar Capital Complex,itanagar capital complex
315,Jabalpur,jabalpur
459,Jagatsinghpur,jagatsinghpur
584,Jagtial,jagtial
505,Jaipur I,jaipur i
506,Jaipur II,jaipur ii
527,Jaisalmer,jaisalmer
460,Jajpur,jajpur
492,Jalandhar,jalandhar
659,Jalaun,jalaun
390,Jalgaon,jalgaon
396,Jalna,jalna
533,Jalore,jalore
722,Jalpaiguri,jalpaiguri
230,Jammu,jammu
169,Jamnagar,jamnagar
773,Jamnagar Corporation,jamnagar corporation
259,Jamtara,jamtara
107,Jamui,jamui
585,Jangaon,jangaon
121,Janjgir-Champa,janjgir-champa
122,Jashpur,jashpur
660,Jaunpur,jaunpur
586,Jayashankar Bhupalpally,jayashankar bhupalpally
91,Jehanabad,jehanabad
340,Jhabua,jhabua
189,Jhajjar,jhajjar
515,Jhalawar,jhalawar
661,Jhansi,jhansi
723,Jhargram,jhargram
474,Jharsuguda,jharsuguda
510,Jhunjhunu,jhunjhunu
204,Jind,jind
410,Jiribam,jiribam
502,Jodhpur,jodhpur
587,Jogulamba Gadwal,jogulamba gadwal
54,Jorhat,jorhat
178,Junagadh,junagadh
774,Junagadh Corporation,junagadh corporation
80,Kaimur,kaimur
190,Kaithal,kaithal
413,Kakching,kakching
464,Kalahandi,kalahandi
724,Kalimpong,kalimpong
552,Kallakurichi,kallakurichi
588,Kamareddy,kamareddy
409,Kamjong,kamjong
24,Kamle,kamle
49,Kamrup Metropolitan,kamrup metropolitan
50,Kamrup Rural,kamrup rural
557,Kanchipuram,kanchipuram
450,Kandhamal,kandhamal
408,Kangpokpi,kangpokpi
213,Kangra,kangra
123,Kanker,kanker
662,Kannauj,kannauj
297,Kannur,kannur
663,Kanpur Dehat,kanpur dehat
664,Kanpur Nagar,kanpur nagar
544,Kanyakumari,kanyakumari
479,Kapurthala,kapurthala
476,Karaikal,karaikal
525,Karauli,karauli
51,Karbi-Anglong,karbi-anglong
309,Kargil,kargil
69,Karimganj,karimganj
589,Karimnagar,karimnagar
203,Karnal,karnal
559,Karur,karur
295,Kasaragod,kasaragod
665,Kasganj,kasganj
234,Kathua,kathua
75,Katihar,katihar
353,Katni,katni
666,Kaushambi,kaushambi
135,Kawardha,kawardha
461,Kendrapara,kendrapara
455,Kendujhar,kendujhar
101,Khagaria,khagaria
590,Khammam,khammam
339,Khandwa,khandwa
344,Khargone,khargone
156,Kheda,kheda
616,Khowai,khowai
252,Khunti,khunti
446,Khurda,khurda
216,Kinnaur,kinnaur
444,Kiphire,kiphire
76,Kishanganj,kishanganj
231,Kishtwar,kishtwar
283,Kodagu,kodagu
241,Koderma,koderma
441,Kohima,kohima
61,Kokrajhar,kokrajhar
277,Kolar,kolar
428,Kolasib,kolasib
371,Kolhapur,kolhapur
725,Kolkata,kolkata
298,Kollam,kollam
124,Kondagaon,kondagaon
282,Koppal,koppal
451,Koraput,koraput
125,Korba,korba
126,Koriya,koriya
503,Kota,kota
304,Kottayam,kottayam
780,Kovilpatti,kovilpatti
305,Kozhikode,kozhikode
27,Kra Daadi,kra daadi
4,Krishna,krishna
562,Krishnagiri,krishnagiri
221,Kulgam,kulgam
211,Kullu,kullu
591,Kumuram Bheem,kumuram bheem
226,Kupwara,kupwara
7,Kurnool,kurnool
186,Kurukshetra,kurukshetra
21,Kurung Kumey,kurung kumey
667,Kushinagar,kushinagar
170,Kutch,kutch
210,Lahaul Spiti,lahaul spiti
63,Lakhimpur,lakhimpur
668,Lakhimpur Kheri,lakhimpur kheri
84,Lakhisarai,lakhisarai
311,Lakshadweep,lakshadweep
669,Lalitpur,lalitpur
244,Latehar,latehar
383,Latur,latur
432,Lawngtlai,lawngtlai
310,Leh,leh
33,Lepa Rada,lepa rada
250,Lohardaga,lohardaga
29,Lohit,lohit
40,Longding,longding
438,Longleng,longleng
31,Lower Dibang Valley,lower dibang valley
18,Lower Siang,lower siang
32,Lower Subansiri,lower subansiri
670,Lucknow,lucknow
488,Ludhiana,ludhiana
431,Lunglei,lunglei
70,Madhepura,madhepura
95,Madhubani,madhubani
540,Madurai,madurai
592,Mahabubabad,mahabubabad
593,Mahabubnagar,mahabubnagar
671,Maharajganj,maharajganj
127,Mahasamund,mahasamund
477,Mahe,mahe
206,Mahendragarh,mahendragarh
183,Mahisagar,mahisagar
672,Mahoba,mahoba
673,Mainpuri,mainpuri
767,Majuli,majuli
302,Malappuram,malappuram
726,Malda,malda
469,Malkangiri,malkangiri
427,Mamit,mamit
594,Mancherial,mancherial
215,Mandi,mandi
335,Mandla,mandla
319,Mandsaur,mandsaur
290,Mandya,mandya
482,Mansa,mansa
674,Mathura,mathura
675,Mau,mau
456,Mayurbhanj,mayurbhanj
595,Medak,medak
596,Medchal,medchal
676,Meerut,meerut
160,Mehsana,mehsana
677,Mirzapur,mirzapur
491,Moga,moga
437,Mokokchung,mokokchung
439,Mon,mon
678,Moradabad,moradabad
171,Morbi,morbi
347,Morena,morena
55,Morigaon,morigaon
612,Mulugu,mulugu
395,Mumbai,mumbai
128,Mungeli,mungeli
85,Munger,munger
727,Murshidabad,murshidabad
679,Muzaffarnagar,muzaffarnagar
86,Muzaffarpur,muzaffarpur
266,Mysore,mysore
470,Nabarangpur,nabarangpur
728,Nadia,nadia
56,Nagaon,nagaon
576,Nagapattinam,nagapattinam
597,Nagarkurnool,nagarkurnool
532,Nagaur,nagaur
365,Nagpur,nagpur
709,Nainital,nainital
90,Nalanda,nalanda
52,Nalbari,nalbari
598,Nalgonda,nalgonda
558,Namakkal,namakkal
36,Namsai,namsai
382,Nanded,nanded
729,Nandigram HD (East Medinipore),nandigram hd (east medinipore)
387,Nandurbar,nandurbar
613,Narayanpet,narayanpet
129,Narayanpur,narayanpur
184,Narmada,narmada
352,Narsinghpur,narsinghpur
389,Nashik,nashik
164,Navsari,navsari
92,Nawada,nawada
462,Nayagarh,nayagarh
323,Neemuch,neemuch
